user_id,card_id,session_id,session_depth,shown_at,pool_type,topic_overlap,skill_overlap,open,like,share,long_view,skip_fast,disengage,dwell_time_seconds
user_0217,news_0022,user_0217_session_001,1,2026-01-20T21:03:00,news,0,1,0,1,1,1,0,1,52
user_0217,news_0182,user_0217_session_001,2,2026-01-20T21:15:00,news,1,2,1,0,0,1,0,0,66
user_0217,news_0234,user_0217_session_001,3,2026-01-20T21:27:00,news,1,2,1,0,1,1,0,1,67
user_0217,news_0183,user_0217_session_001,4,2026-01-20T21:39:00,news,0,1,1,1,1,0,0,0,75
user_0217,news_0051,user_0217_session_001,5,2026-01-20T21:51:00,news,2,2,1,1,0,1,0,0,86
user_0217,news_0149,user_0217_session_001,6,2026-01-20T22:03:00,news,2,1,1,1,0,0,1,0,56
user_0217,news_0049,user_0217_session_001,7,2026-01-20T22:15:00,news,2,2,1,1,1,1,0,0,112
user_0217,news_0009,user_0217_session_002,1,2026-01-20T22:24:00,news,2,3,1,1,1,1,0,1,92
user_0217,news_0034,user_0217_session_001,8,2026-01-20T22:27:00,news,3,1,1,1,0,0,0,0,72
user_0217,news_0164,user_0217_session_002,2,2026-01-20T22:36:00,news,3,1,1,1,1,1,0,0,90
user_0217,news_0025,user_0217_session_001,9,2026-01-20T22:39:00,news,2,1,1,1,1,1,0,0,106
user_0217,news_0167,user_0217_session_002,3,2026-01-20T22:48:00,news,1,1,1,1,0,1,0,0,97
user_0217,news_0030,user_0217_session_002,4,2026-01-20T23:00:00,news,1,3,1,1,0,1,0,0,84
user_0217,news_0179,user_0217_session_002,5,2026-01-20T23:12:00,news,3,3,1,1,0,1,0,1,86
user_0217,news_0198,user_0217_session_002,6,2026-01-20T23:24:00,news,1,1,1,1,0,1,0,0,87
user_0217,news_0050,user_0217_session_002,7,2026-01-20T23:36:00,news,2,3,1,1,0,0,0,0,60
user_0217,news_0193,user_0217_session_002,8,2026-01-20T23:48:00,news,3,2,1,1,0,0,0,0,65
user_0217,news_0218,user_0217_session_003,1,2026-01-20T23:54:00,news,3,2,1,1,1,1,0,0,97
user_0217,news_0090,user_0217_session_002,9,2026-01-21T00:00:00,news,3,3,1,1,0,1,0,0,89
user_0217,news_0003,user_0217_session_003,2,2026-01-21T00:06:00,news,1,3,1,0,1,0,0,1,59
user_0217,news_0177,user_0217_session_002,10,2026-01-21T00:12:00,news,1,2,1,1,1,1,0,0,91
user_0217,news_0088,user_0217_session_003,3,2026-01-21T00:18:00,news,2,3,0,1,0,1,0,0,75
user_0217,news_0172,user_0217_session_003,4,2026-01-21T00:30:00,news,1,2,1,1,1,0,0,0,84
user_0217,news_0013,user_0217_session_003,5,2026-01-21T00:42:00,news,3,3,1,1,0,1,0,1,81
user_0217,news_0236,user_0217_session_003,6,2026-01-21T00:54:00,news,2,1,1,0,0,1,0,0,73
user_0217,news_0187,user_0217_session_003,7,2026-01-21T01:06:00,news,2,1,1,1,0,1,0,0,81
user_0217,news_0179,user_0217_session_003,8,2026-01-21T01:18:00,news,3,3,1,1,0,0,0,0,79
user_0217,news_0020,user_0217_session_004,1,2026-01-21T01:24:00,news,1,2,1,1,1,1,0,1,97
user_0217,news_0170,user_0217_session_003,9,2026-01-21T01:30:00,news,1,3,1,1,0,1,0,1,87
user_0217,news_0069,user_0217_session_004,2,2026-01-21T01:36:00,news,3,1,1,1,0,1,0,0,89
user_0217,news_0234,user_0217_session_003,10,2026-01-21T01:42:00,news,2,2,1,1,0,1,0,0,94
user_0217,news_0094,user_0217_session_004,3,2026-01-21T01:48:00,news,3,1,1,1,1,1,0,0,99
user_0217,news_0063,user_0217_session_004,4,2026-01-21T02:00:00,news,1,2,1,1,1,1,0,0,96
user_0217,news_0091,user_0217_session_004,5,2026-01-21T02:12:00,news,1,1,1,1,0,1,0,0,95
user_0217,news_0067,user_0217_session_005,1,2026-01-21T02:18:00,news,2,2,1,1,0,0,0,0,75
user_0217,news_0027,user_0217_session_004,6,2026-01-21T02:24:00,news,2,2,1,1,1,1,0,0,103
user_0217,news_0236,user_0217_session_005,2,2026-01-21T02:30:00,news,2,1,1,1,0,1,0,0,89
user_0217,news_0120,user_0217_session_005,3,2026-01-21T02:42:00,news,3,3,1,1,1,1,0,0,102
user_0217,news_0220,user_0217_session_005,4,2026-01-21T02:54:00,news,1,2,1,1,0,1,0,0,89
user_0217,news_0194,user_0217_session_005,5,2026-01-21T03:06:00,news,1,3,1,1,1,0,0,0,87
user_0217,news_0030,user_0217_session_005,6,2026-01-21T03:18:00,news,1,3,1,0,0,1,0,0,83
user_0217,news_0211,user_0217_session_005,7,2026-01-21T03:30:00,news,1,2,1,1,0,1,0,0,97
user_0217,news_0115,user_0217_session_006,1,2026-01-21T03:39:00,news,2,2,0,1,0,0,0,0,48
user_0217,news_0171,user_0217_session_005,8,2026-01-21T03:42:00,news,3,1,1,0,1,1,0,1,72
user_0217,news_0169,user_0217_session_006,2,2026-01-21T03:51:00,news,2,2,1,0,0,1,0,1,66
user_0217,news_0138,user_0217_session_005,9,2026-01-21T03:54:00,news,3,2,1,1,1,1,0,0,106
user_0104,news_0233,user_0104_session_001,1,2026-01-21T04:03:00,news,1,1,1,0,1,1,0,0,91
user_0217,news_0107,user_0217_session_006,3,2026-01-21T04:03:00,news,2,2,1,1,0,1,0,0,99
user_0287,news_0171,user_0287_session_001,1,2026-01-21T04:03:00,news,1,1,1,1,0,1,0,0,78
user_0104,news_0120,user_0104_session_001,2,2026-01-21T04:15:00,news,1,1,1,1,0,1,0,0,102
user_0217,news_0048,user_0217_session_006,4,2026-01-21T04:15:00,news,1,2,1,1,0,0,0,1,66
user_0287,news_0157,user_0287_session_001,2,2026-01-21T04:15:00,news,1,1,1,1,1,1,0,0,102
user_0104,news_0150,user_0104_session_001,3,2026-01-21T04:27:00,news,2,1,1,1,1,1,0,1,90
user_0217,news_0234,user_0217_session_006,5,2026-01-21T04:27:00,news,2,2,1,1,1,1,0,1,93
user_0287,news_0155,user_0287_session_001,3,2026-01-21T04:27:00,news,2,1,1,1,0,1,0,0,92
user_0104,news_0179,user_0104_session_001,4,2026-01-21T04:39:00,news,2,1,1,1,1,1,0,0,112
user_0217,news_0106,user_0217_session_006,6,2026-01-21T04:39:00,news,1,3,1,1,1,1,0,0,110
user_0287,news_0082,user_0287_session_001,4,2026-01-21T04:39:00,news,1,1,1,0,0,0,0,0,40
user_0104,news_0083,user_0104_session_001,5,2026-01-21T04:51:00,news,2,1,1,1,0,1,0,0,79
user_0217,news_0163,user_0217_session_006,7,2026-01-21T04:51:00,news,1,1,1,1,1,1,0,0,111
user_0287,news_0227,user_0287_session_001,5,2026-01-21T04:51:00,news,2,1,1,0,0,1,0,0,68
user_0104,news_0132,user_0104_session_002,1,2026-01-21T04:57:00,news,2,2,1,1,0,0,0,0,67
user_0104,news_0061,user_0104_session_001,6,2026-01-21T05:03:00,news,2,3,0,1,1,1,0,0,78
user_0217,news_0016,user_0217_session_006,8,2026-01-21T05:03:00,news,1,1,1,1,1,0,0,0,83
user_0287,news_0127,user_0287_session_001,6,2026-01-21T05:03:00,news,1,3,1,1,0,1,0,0,86
user_0104,news_0221,user_0104_session_002,2,2026-01-21T05:09:00,news,1,2,1,1,0,0,0,0,69
user_0217,news_0211,user_0217_session_006,9,2026-01-21T05:15:00,news,1,2,1,1,0,1,0,0,95
user_0287,news_0236,user_0287_session_001,7,2026-01-21T05:15:00,news,1,1,1,1,1,1,0,1,93
user_0104,news_0066,user_0104_session_002,3,2026-01-21T05:21:00,news,1,1,1,1,1,1,0,0,93
user_0287,news_0176,user_0287_session_001,8,2026-01-21T05:27:00,news,1,1,1,1,0,0,0,0,65
user_0104,news_0186,user_0104_session_002,4,2026-01-21T05:33:00,news,1,1,1,1,1,1,0,1,93
user_0287,news_0114,user_0287_session_002,1,2026-01-21T05:33:00,news,2,2,1,1,0,1,0,0,85
user_0287,news_0086,user_0287_session_001,9,2026-01-21T05:39:00,news,2,1,1,1,1,1,0,0,97
user_0104,news_0052,user_0104_session_002,5,2026-01-21T05:45:00,news,2,1,1,1,0,1,0,0,92
user_0287,news_0215,user_0287_session_002,2,2026-01-21T05:45:00,news,1,3,1,1,1,1,0,0,86
user_0104,news_0052,user_0104_session_003,1,2026-01-21T05:51:00,news,2,1,1,1,1,1,0,0,104
user_0287,news_0090,user_0287_session_001,10,2026-01-21T05:51:00,news,3,2,1,1,1,1,0,0,93
user_0104,news_0179,user_0104_session_002,6,2026-01-21T05:57:00,news,3,3,1,1,1,0,0,0,80
user_0287,news_0233,user_0287_session_002,3,2026-01-21T05:57:00,news,3,2,1,1,0,1,0,0,92
user_0104,news_0081,user_0104_session_003,2,2026-01-21T06:03:00,news,2,1,1,1,0,1,0,0,87
user_0133,news_0003,user_0133_session_001,1,2026-01-21T06:03:00,news,1,1,1,1,0,0,0,0,71
user_0287,news_0011,user_0287_session_002,4,2026-01-21T06:09:00,news,1,2,1,1,1,0,0,0,79
user_0104,news_0179,user_0104_session_003,3,2026-01-21T06:15:00,news,3,3,1,0,1,0,0,0,72
user_0133,news_0083,user_0133_session_001,2,2026-01-21T06:15:00,news,1,1,1,0,1,1,0,1,79
user_0287,news_0032,user_0287_session_002,5,2026-01-21T06:21:00,news,2,3,1,1,0,1,0,1,83
user_0104,news_0013,user_0104_session_003,4,2026-01-21T06:27:00,news,3,3,1,1,0,1,0,0,96
user_0133,news_0148,user_0133_session_001,3,2026-01-21T06:27:00,news,0,1,1,0,1,1,0,0,69
user_0287,news_0166,user_0287_session_002,6,2026-01-21T06:33:00,news,2,2,0,1,1,0,0,0,56
user_0104,news_0193,user_0104_session_003,5,2026-01-21T06:39:00,news,3,2,1,1,0,0,0,0,71
user_0133,news_0220,user_0133_session_001,4,2026-01-21T06:39:00,news,1,2,1,0,0,0,0,0,42
user_0287,news_0012,user_0287_session_003,1,2026-01-21T06:45:00,news,3,3,1,1,1,0,0,1,67
user_0287,news_0118,user_0287_session_002,7,2026-01-21T06:45:00,news,3,3,1,1,0,1,0,0,91
user_0104,news_0004,user_0104_session_003,6,2026-01-21T06:51:00,news,1,3,1,1,1,1,0,0,103
user_0133,news_0007,user_0133_session_001,5,2026-01-21T06:51:00,news,1,1,1,1,0,1,0,0,81
user_0287,news_0081,user_0287_session_002,8,2026-01-21T06:57:00,news,2,1,1,1,1,1,0,0,102
user_0287,news_0202,user_0287_session_003,2,2026-01-21T06:57:00,news,3,2,1,0,0,0,0,1,45
user_0104,news_0066,user_0104_session_003,7,2026-01-21T07:03:00,news,1,1,1,0,0,0,0,1,39
user_0133,news_0182,user_0133_session_001,6,2026-01-21T07:03:00,news,2,2,1,1,1,1,0,0,101
user_0287,news_0104,user_0287_session_003,3,2026-01-21T07:09:00,news,2,2,0,1,1,1,0,0,79
user_0104,news_0172,user_0104_session_003,8,2026-01-21T07:15:00,news,1,2,0,0,1,1,0,0,65
user_0133,news_0064,user_0133_session_001,7,2026-01-21T07:15:00,news,1,1,1,1,0,0,0,0,70
user_0104,news_0018,user_0104_session_004,1,2026-01-21T07:21:00,news,2,1,1,1,0,1,0,0,93
user_0287,news_0115,user_0287_session_003,4,2026-01-21T07:21:00,news,2,2,1,1,1,1,0,0,99
user_0104,news_0134,user_0104_session_003,9,2026-01-21T07:27:00,news,2,2,1,1,1,1,0,0,102
user_0133,news_0056,user_0133_session_001,8,2026-01-21T07:27:00,news,2,2,1,1,0,1,0,0,94
user_0104,news_0029,user_0104_session_004,2,2026-01-21T07:33:00,news,2,2,1,1,1,1,0,0,104
user_0133,news_0149,user_0133_session_002,1,2026-01-21T07:33:00,news,1,2,1,1,1,1,0,0,105
user_0287,news_0033,user_0287_session_003,5,2026-01-21T07:33:00,news,2,1,1,0,0,1,0,0,75
user_0104,news_0169,user_0104_session_003,10,2026-01-21T07:39:00,news,1,2,0,1,1,0,0,0,58
user_0133,news_0128,user_0133_session_001,9,2026-01-21T07:39:00,news,3,2,1,1,0,1,0,0,86
user_0287,news_0228,user_0287_session_004,1,2026-01-21T07:39:00,news,3,3,1,1,1,1,0,0,101
user_0104,news_0125,user_0104_session_004,3,2026-01-21T07:45:00,news,3,2,1,1,0,1,0,0,98
user_0133,news_0075,user_0133_session_002,2,2026-01-21T07:45:00,news,2,3,1,1,1,0,0,0,83
user_0287,news_0175,user_0287_session_003,6,2026-01-21T07:45:00,news,3,1,1,0,0,1,0,0,78
user_0133,news_0133,user_0133_session_001,10,2026-01-21T07:51:00,news,2,2,1,1,0,0,0,0,70
user_0287,news_0134,user_0287_session_004,2,2026-01-21T07:51:00,news,2,2,1,1,0,1,0,0,96
user_0104,news_0078,user_0104_session_004,4,2026-01-21T07:57:00,news,1,2,1,0,0,0,0,0,54
user_0133,news_0158,user_0133_session_002,3,2026-01-21T07:57:00,news,2,3,1,1,1,1,0,1,91
user_0287,news_0073,user_0287_session_004,3,2026-01-21T08:03:00,news,3,3,1,1,1,1,0,1,92
user_0104,news_0179,user_0104_session_004,5,2026-01-21T08:09:00,news,3,3,1,1,0,1,0,0,99
user_0133,news_0016,user_0133_session_002,4,2026-01-21T08:09:00,news,1,1,1,1,1,1,0,1,94
